2019/08/22 12:33:32 [error] 7#0: *1 open() "/usr/local/nginx/html/favicon.ico" failed (2: No such file or directory), client: 192.168.159.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "192.168.159.129:4001", referrer: "http://192.168.159.129:4001/"
2019/08/23 01:24:05 [emerg] 6#0: unexpected "}" in /usr/local/nginx/conf/nginx.conf:21
2019/08/23 01:25:28 [emerg] 6#0: unexpected end of file, expecting "}" in /usr/local/nginx/conf/nginx.conf:23
2019/08/23 09:11:37 [error] 9#0: *3 open() "/usr/local/nginx/html/api/home/gethomeinitinfo" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/home/gethomeinitinfo HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 09:11:37 [error] 9#0: *3 open() "/usr/local/nginx/html/api/ad/list" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/ad/list?adType=0 HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 09:11:37 [error] 10#0: *6 open() "/usr/local/nginx/html/api/notice/list" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/notice/list?PageIndex=1&Source=0 HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 09:11:37 [error] 9#0: *3 open() "/usr/local/nginx/html/api/calendar/get" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/calendar/get?StartDate=1566518400&EndDate=1598140800 HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 09:11:37 [error] 9#0: *3 open() "/usr/local/nginx/html/api/WeChatOAuth/WeChatJsConfigResponse" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "POST /api/WeChatOAuth/WeChatJsConfigResponse HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 09:11:39 [error] 10#0: *6 open() "/usr/local/nginx/html/api/user/getUserManageInfo" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/user/getUserManageInfo HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 09:11:40 [error] 7#0: *7 open() "/usr/local/nginx/html/api/user/getUserCenterInitInfo" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/user/getUserCenterInitInfo HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 09:11:43 [error] 8#0: *4 open() "/usr/local/nginx/html/api/user/getUserCenterInitInfo" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/user/getUserCenterInitInfo HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 09:35:57 [error] 9#0: *9 open() "/usr/local/nginx/html/api/home/gethomeinitinfo" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/home/gethomeinitinfo HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 09:35:57 [error] 10#0: *5 open() "/usr/local/nginx/html/api/ad/list" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/ad/list?adType=0 HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 09:35:57 [error] 9#0: *9 open() "/usr/local/nginx/html/api/notice/list" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/notice/list?PageIndex=1&Source=0 HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 09:35:57 [error] 10#0: *6 open() "/usr/local/nginx/html/api/calendar/get" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/calendar/get?StartDate=1566518400&EndDate=1598140800 HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 09:35:57 [error] 8#0: *7 open() "/usr/local/nginx/html/api/WeChatOAuth/WeChatJsConfigResponse" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "POST /api/WeChatOAuth/WeChatJsConfigResponse HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 10:06:00 [error] 7#0: *10 open() "/usr/local/nginx/html/api/home/gethomeinitinfo" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/home/gethomeinitinfo HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 10:06:00 [error] 7#0: *11 open() "/usr/local/nginx/html/api/ad/list" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/ad/list?adType=0 HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 10:06:00 [error] 7#0: *11 open() "/usr/local/nginx/html/api/notice/list" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/notice/list?PageIndex=1&Source=0 HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 10:06:00 [error] 7#0: *10 open() "/usr/local/nginx/html/api/calendar/get" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "GET /api/calendar/get?StartDate=1566518400&EndDate=1598140800 HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
2019/08/23 10:06:00 [error] 7#0: *11 open() "/usr/local/nginx/html/api/WeChatOAuth/WeChatJsConfigResponse" failed (2: No such file or directory), client: 192.168.159.1, server: nginx.com, request: "POST /api/WeChatOAuth/WeChatJsConfigResponse HTTP/1.1", host: "192.168.159.129", referrer: "http://192.168.159.129/"
